"age","mu_weighted","mu_unweighted","pointwise_lower","pointwise_upper","simultaneous_lower","simultaneous_upper","pointwise_excludes_zero","simultaneous_excludes_zero"
52,-0.0109165195041631,-0.0103836302732845,-0.0159910123530872,-0.00113472657147654,-0.0227752325640071,0.000942193555681,1,0
52.3,-0.011031136199016,-0.0104953573007201,-0.0160878784463411,-0.00122611332446002,-0.022915090945895,0.000852818547862942,1,0
52.6,-0.0111386470675221,-0.0106000514662961,-0.0161762286764384,-0.00131447724587767,-0.0230472206390675,0.000769926504023292,1,0
52.9,-0.0112327492287572,-0.0106914782854783,-0.0162482889628462,-0.00139651987701707,-0.0231615248151812,0.000696026357666885,1,0
53.2,-0.0112701627617192,-0.0107259323757558,-0.0162836858610324,-0.00148637777921612,-0.0231466846798654,0.000606359156426919,1,0
53.5,-0.0112575413865239,-0.0107104392145556,-0.0162738760625456,-0.00157192968439702,-0.0230412919758973,0.000526209202849456,1,0
53.8,-0.0111985634289167,-0.0106490794458719,-0.0162059214186634,-0.00163738179484922,-0.0228725652129012,0.000475438355067826,1,0
54.1,-0.0109922527659072,-0.0104417620072401,-0.0159434253208316,-0.00159033691784642,-0.0224745417652186,0.000490036233404314,1,0
54.4,-0.0105373843483178,-0.00998815002341619,-0.0153499050789409,-0.00133996184025989,-0.0216858000439213,0.000611031347285724,1,0
54.7,-0.00998950957793768,-0.0094425104572512,-0.0146383278903707,-0.00105102316115978,-0.0207596279651398,0.000780608809264437,1,0
55,-0.00933118110688064,-0.00878757819433965,-0.0137866323974422,-0.000717787380973747,-0.0196640205657632,0.00100165835200194,1,0
55.3,-0.00853272889083201,-0.00799400259819468,-0.0127553653951924,-0.000329080221188216,-0.0183462343667555,0.00128077658509143,1,0
55.6,-0.00759073882850687,-0.00705838522860843,-0.0115417510832682,0.000115789117280671,-0.0167977839286871,0.00161630627167333,0,0
55.9,-0.00649276193984541,-0.0059683974756351,-0.0101295031853505,0.000619229905162192,-0.0149957221087776,0.00201019822908675,0,0
56.2,-0.00523004256868051,-0.00471536435480436,-0.0085068270870661,0.00118315932474888,-0.0129255988787061,0.00246551374134508,0,0
56.5,-0.00380222657274321,-0.00329892647023757,-0.00667316293342892,0.00180707141360206,-0.0105895795681648,0.0029851264226784,0,0
56.8,-0.00222115179886568,-0.00173079124495584,-0.00464393618579934,0.00248468130556801,-0.00801269159792846,0.0035703880001971,0,0
57.1,-0.000507597730857091,-3.15166090213721e-05,-0.00250547199931406,0.00320613600231934,-0.00524133562567005,0.00422614016395587,0,0
57.4,0.00131351799887015,0.00177423923872017,-0.000387004926164891,0.00419061005870258,-0.00234678813330919,0.00497382413104948,0,0
57.7,0.00321359284688629,0.00365815895801584,0.00178102693253849,0.00521221415291829,0.000540330158022344,0.00588685553575023,1,1
58,0.00516028122509995,0.00558820569243237,0.00384175404953609,0.00623328773216152,0.00312739466537904,0.00719316778482086,1,1
58.3,0.00712015590157864,0.00753127033371788,0.00545994135340373,0.00811620895904576,0.00497283636437526,0.00926747543878202,1,1
58.6,0.00905945810846543,0.00945391471930421,0.00658807276294167,0.0103821535740357,0.00612906178426134,0.0119898544326695,1,1
58.9,0.0109444986698806,0.0113227684867817,0.00758486045634293,0.0125923793803376,0.00696786086049734,0.0149211364792639,1,1
59.2,0.0127420932780985,0.0131049556425938,0.00851181106289848,0.0148800338992318,0.00766231111637354,0.0178218754398234,1,1
59.5,0.0144213895901044,0.014769906134056,0.00916354879140228,0.0170458609166193,0.00826715785715218,0.0205756213230567,1,1
59.8,0.0159557215502161,0.0162911928199541,0.00975670615168405,0.0190190088333166,0.0088000565824104,0.0231113865180219,1,1
60.1,0.0173279542757523,0.0176518287609825,0.010285479721748,0.0207772351278225,0.00926745613947358,0.0253884524120311,1,1
60.4,0.0185335651730137,0.0188473203984688,0.0107481011405772,0.0223149151818926,0.0096737810515732,0.0273933492944542,1,1
60.7,0.0195763860157898,0.0198814478849955,0.0111463247014911,0.0236374244665987,0.0100236999969812,0.0291290720345985,1,1
61,0.0204646036461792,0.0207623095377491,0.0114821872547832,0.0247559715843453,0.010320896443447,0.0306083108489113,1,1
61.3,0.0211874438820118,0.0214791827140485,0.0117660352088809,0.025667009421026,0.0105732989072815,0.031801588856742,1,1
61.6,0.0217810255772217,0.0220678917630583,0.0119970057471258,0.0264088111649785,0.0107807027487566,0.0327813484056868,1,1
61.9,0.0222618687623666,0.0225448056457509,0.0121822099025846,0.0270036934586154,0.0109478082759984,0.0335759292487347,1,1
62.2,0.0225807267058568,0.0228611694758123,0.0123485696799472,0.0273981233258989,0.0110904558191056,0.0340709975926081,1,1
62.5,0.0227890467983036,0.0230679497492241,0.0124929721103927,0.0276544479818725,0.0112094893274166,0.0343686042691906,1,1
62.8,0.0229381840822296,0.0232160232417664,0.0126118471090371,0.0278347619260287,0.0113043326994637,0.0345720354649954,1,1
63.1,0.022990499179662,0.0232678988612122,0.0126820858406761,0.0278983476646024,0.0113598954110217,0.0346211029483024,1,1
63.4,0.0229047284614721,0.023182498452268,0.0126817594295982,0.0277996352195761,0.0113646880688096,0.0344447688541346,1,1
63.7,0.0228003736791359,0.0230786589847176,0.0126742097049082,0.0276777156124617,0.0113632240131784,0.0342375233450933,1,1
64,0.022685864701525,0.0229647484646917,0.0126628140905208,0.0275432583165748,0.0113578778300446,0.0340138515730055,1,1
