"s","t","mu_weighted","mu_unweighted","simultaneous_lower","simultaneous_upper","simultaneous_excludes_zero"
52,64,-0.00677684639697694,-0.0328669154413871,-0.035549535653013,0.0219958428590591,0
52.25,64,-0.00685711711600989,-0.0331853295627133,-0.0358596879873468,0.022145453755327,0
52.5,64,-0.00693259727099634,-0.0334868457265432,-0.0361507705128595,0.0222855759708668,0
52.75,64,-0.00699961231567502,-0.0337583606461419,-0.0364074545894031,0.022408229958053,0
53,64,-0.00705448770378456,-0.0339867710347743,-0.0366143572240966,0.0225053818165275,0
53.25,64,-0.00701950884269395,-0.0339291099778095,-0.0363785453387018,0.0223395276533139,0
53.5,64,-0.00696161924702985,-0.033789712367332,-0.0360490068920315,0.0221257683979718,0
53.75,64,-0.00687388108064768,-0.0335438615265988,-0.0355950404889332,0.0218472783276378,0
54,64,-0.00674943949074635,-0.0331671274826951,-0.0349861689928167,0.021487290011324,0
54.25,64,-0.00640246303695112,-0.0320150071422051,-0.0333457686742283,0.0205408426003261,0
54.5,64,-0.00600636719743573,-0.030687653187224,-0.0314989496808363,0.0194862152859648,0
54.75,64,-0.0055548193459584,-0.0291625802692199,-0.0294183916560072,0.0183087529640904,0
55,64,-0.00504263245047549,-0.0274213679912939,-0.0270811082008913,0.0169958432999403,0
55.25,64,-0.00446303215691694,-0.0254412028122275,-0.0244584029408714,0.0155323386270375,0
55.5,64,-0.00381627606793844,-0.0232216967997832,-0.0215492473146602,0.0139166951787833,0
55.75,64,-0.00310389596311137,-0.0207679897922838,-0.0183628548655652,0.0121550629393425,0
56,64,-0.00233258528530145,-0.0181035053268437,-0.0149381239554648,0.0102729533848619,0
56.25,64,-0.00151287251620077,-0.0152655021678776,-0.0113481592338808,0.00832241420147921,0
56.5,64,-0.000656240598977,-0.0122947096013664,-0.00771970102997754,0.00640721983202354,0
56.75,64,0.000225161920283121,-0.00923428605880785,-0.00437658554351329,0.00482690938407953,0
57,64,0.00111767092378056,-0.00613264440682067,-0.00240991202598733,0.00464525387354846,0
57.25,64,0.00200584611019496,-0.00304425965365771,-0.00292742745114942,0.00693911967153934,0
57.5,64,0.00287449309838358,-2.27334952569544e-05,-0.00461613153444428,0.0103651177312114,0
57.75,64,0.00370938636652563,0.0028817647890985,-0.00657168105354064,0.0139904537865919,0
58,64,0.00449699713808981,0.00562163259168358,-0.00853657328868557,0.0175305675648652,0
58.25,64,0.00522410777491064,0.00815050006988021,-0.0104090031196216,0.0208572186694429,0
58.5,64,0.00587828296915738,0.0104247275218647,-0.0121297015291663,0.0238862674674811,0
58.75,64,0.00645121021430023,0.012415505675003,-0.0136648524155901,0.0265672728441905,0
59,64,0.00694025853906103,0.0141140981541372,-0.0150015135291535,0.0288820306072756,0
59.25,64,0.00734686286916164,0.0155258695982887,-0.0161395474795147,0.030833273217838,0
59.5,64,0.00767647751775059,0.0166701334396181,-0.0170917335884741,0.0324446886239753,0
59.75,64,0.00793578761386424,0.0175703271223865,-0.0178745543655786,0.0337461295933071,0
60,64,0.00813272445728002,0.0182541133005439,-0.0185080351847817,0.0347734840993417,0
60.25,64,0.00821700357618355,0.0185518280543426,-0.0188497636837851,0.0352837708361522,0
60.5,64,0.00825406736280721,0.0186858782988553,-0.0190803294366257,0.0355884641622401,0
60.75,64,0.00825238718505983,0.0186857149359585,-0.0192218439212008,0.0357266182913205,0
61,64,0.00822047836660517,0.0185809409119026,-0.0192963556603848,0.0357373123935951,0
61.25,64,0.00807835905995795,0.0180897278380426,-0.0190606264464908,0.0352173445664067,0
61.5,64,0.00792002334116011,0.0175423493224791,-0.0187870577296406,0.0346271044119608,0
61.75,64,0.0077506867020337,0.0169568798404844,-0.0184883604959524,0.0339897339000198,0
62,64,0.00757556463440082,0.0163513938673313,-0.0181771959908444,0.033328325259646,0
52,64.25,-0.00773183804272858,-0.033912314992622,-0.0360457343171346,0.0205820582316775,0
52.25,64.25,-0.0078225528465078,-0.0342416064052309,-0.0363597729393503,0.0207146672463348,0
52.5,64.25,-0.00790787954659719,-0.0345533954019165,-0.0366545869504682,0.0208388278572738,0
52.75,64.25,-0.00798368352408121,-0.0348341120398564,-0.0369145674504249,0.0209472004022625,0
