"requested_name","available","original_stata_name"
"hhidpn",TRUE,"hhidpn"
"hhid",TRUE,"hhid"
"pn",TRUE,"pn"
"hacohort",TRUE,"hacohort"
"racohbyr",TRUE,"racohbyr"
"ragender",TRUE,"ragender"
"raracem",TRUE,"raracem"
"rahispan",TRUE,"rahispan"
"raeduc",TRUE,"raeduc"
"raedyrs",TRUE,"raedyrs"
"rabyear",TRUE,"rabyear"
"radyear",TRUE,"radyear"
"raestrat",TRUE,"raestrat"
"raehsamp",TRUE,"raehsamp"
"r1agey_e",TRUE,"r1agey_e"
"r1iwstat",TRUE,"r1iwstat"
"r1bmi",TRUE,"r1bmi"
"r1wtresp",TRUE,"r1wtresp"
"r1mstat",TRUE,"r1mstat"
"r1shlt",TRUE,"r1shlt"
"r1diab",TRUE,"r1diab"
"r1diabe",TRUE,"r1diabe"
"r1hibpe",TRUE,"r1hibpe"
"r1hearte",TRUE,"r1hearte"
"r1stroke",TRUE,"r1stroke"
"r1lunge",TRUE,"r1lunge"
"r1cancre",TRUE,"r1cancre"
"r1arthre",TRUE,"r1arthre"
"r1psyche",TRUE,"r1psyche"
"r1smokev",TRUE,"r1smokev"
"r1smoken",TRUE,"r1smoken"
"r1drinkd",FALSE,NA
"r1drinkr",TRUE,"r1drinkr"
"r1cesd",FALSE,NA
"r1cog27",FALSE,NA
"r1adl5a",FALSE,NA
"r1higov",TRUE,"r1higov"
"r2agey_e",TRUE,"r2agey_e"
"r2iwstat",TRUE,"r2iwstat"
"r2bmi",TRUE,"r2bmi"
"r2wtresp",TRUE,"r2wtresp"
"r2mstat",TRUE,"r2mstat"
"r2shlt",TRUE,"r2shlt"
"r2diab",TRUE,"r2diab"
"r2diabe",TRUE,"r2diabe"
"r2hibpe",TRUE,"r2hibpe"
"r2hearte",TRUE,"r2hearte"
"r2stroke",TRUE,"r2stroke"
"r2lunge",TRUE,"r2lunge"
"r2cancre",TRUE,"r2cancre"
"r2arthre",TRUE,"r2arthre"
"r2psyche",TRUE,"r2psyche"
"r2smokev",TRUE,"r2smokev"
"r2smoken",TRUE,"r2smoken"
"r2drinkd",FALSE,NA
"r2drinkr",TRUE,"r2drinkr"
"r2cesd",TRUE,"r2cesd"
"r2cog27",FALSE,NA
"r2adl5a",TRUE,"r2adl5a"
"r2higov",TRUE,"r2higov"
"r3agey_e",TRUE,"r3agey_e"
"r3iwstat",TRUE,"r3iwstat"
"r3bmi",TRUE,"r3bmi"
"r3wtresp",TRUE,"r3wtresp"
"r3mstat",TRUE,"r3mstat"
"r3shlt",TRUE,"r3shlt"
"r3diab",TRUE,"r3diab"
"r3diabe",TRUE,"r3diabe"
"r3hibpe",TRUE,"r3hibpe"
"r3hearte",TRUE,"r3hearte"
"r3stroke",TRUE,"r3stroke"
"r3lunge",TRUE,"r3lunge"
"r3cancre",TRUE,"r3cancre"
"r3arthre",TRUE,"r3arthre"
"r3psyche",TRUE,"r3psyche"
"r3smokev",TRUE,"r3smokev"
"r3smoken",TRUE,"r3smoken"
"r3drinkd",TRUE,"r3drinkd"
"r3drinkr",FALSE,NA
"r3cesd",TRUE,"r3cesd"
"r3cog27",TRUE,"r3cog27"
"r3adl5a",TRUE,"r3adl5a"
"r3higov",TRUE,"r3higov"
"r4agey_e",TRUE,"r4agey_e"
"r4iwstat",TRUE,"r4iwstat"
"r4bmi",TRUE,"r4bmi"
"r4wtresp",TRUE,"r4wtresp"
"r4mstat",TRUE,"r4mstat"
"r4shlt",TRUE,"r4shlt"
"r4diab",TRUE,"r4diab"
"r4diabe",TRUE,"r4diabe"
"r4hibpe",TRUE,"r4hibpe"
"r4hearte",TRUE,"r4hearte"
"r4stroke",TRUE,"r4stroke"
"r4lunge",TRUE,"r4lunge"
"r4cancre",TRUE,"r4cancre"
"r4arthre",TRUE,"r4arthre"
"r4psyche",TRUE,"r4psyche"
"r4smokev",TRUE,"r4smokev"
"r4smoken",TRUE,"r4smoken"
"r4drinkd",TRUE,"r4drinkd"
"r4drinkr",FALSE,NA
"r4cesd",TRUE,"r4cesd"
"r4cog27",TRUE,"r4cog27"
"r4adl5a",TRUE,"r4adl5a"
"r4higov",TRUE,"r4higov"
"r5agey_e",TRUE,"r5agey_e"
"r5iwstat",TRUE,"r5iwstat"
"r5bmi",TRUE,"r5bmi"
"r5wtresp",TRUE,"r5wtresp"
"r5mstat",TRUE,"r5mstat"
"r5shlt",TRUE,"r5shlt"
"r5diab",TRUE,"r5diab"
"r5diabe",TRUE,"r5diabe"
"r5hibpe",TRUE,"r5hibpe"
"r5hearte",TRUE,"r5hearte"
"r5stroke",TRUE,"r5stroke"
"r5lunge",TRUE,"r5lunge"
"r5cancre",TRUE,"r5cancre"
"r5arthre",TRUE,"r5arthre"
"r5psyche",TRUE,"r5psyche"
"r5smokev",TRUE,"r5smokev"
"r5smoken",TRUE,"r5smoken"
"r5drinkd",TRUE,"r5drinkd"
"r5drinkr",FALSE,NA
"r5cesd",TRUE,"r5cesd"
"r5cog27",TRUE,"r5cog27"
"r5adl5a",TRUE,"r5adl5a"
