"variable","level","summary"
"baseline_age","mean (sd)","53.5 (0.57)"
"sex","male","1227 (37.9%)"
"sex","female","2013 (62.1%)"
"race3","white","2671 (82.4%)"
"race3","black","446 (13.8%)"
"race3","other","123 (3.8%)"
"hisp","no","2955 (91.2%)"
"hisp","yes","285 (8.8%)"
"educ4","lt_hs","689 (21.3%)"
"educ4","hs_ged","1055 (32.6%)"
"educ4","some_col","757 (23.4%)"
"educ4","college","739 (22.8%)"
"smoke3","never","1384 (42.7%)"
"smoke3","former","1213 (37.4%)"
"smoke3","current","643 (19.8%)"
"hibpe","0","2332 (72%)"
"hibpe","1","908 (28%)"
"hearte","0","3060 (94.4%)"
"hearte","1","180 (5.6%)"
"shlt_poor","0","2792 (86.2%)"
"shlt_poor","1","448 (13.8%)"
"log_wealth","mean (sd)","11.07 (2.95)"
"hacohort","mean (sd)","3.24 (0.44)"
